ZIP Code,State,USPS Default City for ZIP,Metro (CBSA),CBSA Code
36204,Alabama,Anniston,"Anniston-Oxford, AL",11500
36205,Alabama,Anniston,"Anniston-Oxford, AL",11500
36206,Alabama,Anniston,"Anniston-Oxford, AL",11500
36207,Alabama,Anniston,"Anniston-Oxford, AL",11500
36250,Alabama,Alexandria,"Anniston-Oxford, AL",11500
36251,Alabama,Ashland,,
36253,Alabama,Bynum,"Anniston-Oxford, AL",11500
36254,Alabama,Choccolocco,"Anniston-Oxford, AL",11500
36255,Alabama,Cragford,,
36256,Alabama,Daviston,"Alexander City, AL",10760
36257,Alabama,De Armanville,"Anniston-Oxford, AL",11500
36258,Alabama,Delta,,
36260,Alabama,Eastaboga,"Anniston-Oxford, AL",11500
36261,Alabama,Edwardsville,,
36262,Alabama,Fruithurst,,
36263,Alabama,Graham,,
36264,Alabama,Heflin,,
36265,Alabama,Jacksonville,"Anniston-Oxford, AL",11500
36266,Alabama,Lineville,,
36267,Alabama,Millerville,,
36268,Alabama,Munford,"Talladega-Sylacauga, AL",45180
36269,Alabama,Muscadine,,
36271,Alabama,Ohatchee,"Anniston-Oxford, AL",11500
36272,Alabama,Piedmont,"Anniston-Oxford, AL",11500
36273,Alabama,Ranburne,,
36274,Alabama,Roanoke,,
36275,Alabama,Spring Garden,,
36276,Alabama,Wadley,,
36277,Alabama,Weaver,"Anniston-Oxford, AL",11500
36278,Alabama,Wedowee,,
36279,Alabama,Wellington,"Anniston-Oxford, AL",11500
36280,Alabama,Woodland,,
36301,Alabama,Dothan,"Dothan, AL",20020
36302,Alabama,Dothan,"Dothan, AL",20020
36303,Alabama,Dothan,"Dothan, AL",20020
36304,Alabama,Dothan,"Dothan, AL",20020
36305,Alabama,Dothan,"Dothan, AL",20020
36310,Alabama,Abbeville,"Dothan, AL",20020
36311,Alabama,Ariton,"Ozark, AL",37120
36312,Alabama,Ashford,"Dothan, AL",20020
36313,Alabama,Bellwood,"Dothan, AL",20020
36314,Alabama,Black,"Dothan, AL",20020
36316,Alabama,Chancellor,"Dothan, AL",20020
36317,Alabama,Clopton,"Dothan, AL",20020
36318,Alabama,Coffee Springs,"Dothan, AL",20020
36319,Alabama,Columbia,"Dothan, AL",20020
36320,Alabama,Cottonwood,"Dothan, AL",20020
36321,Alabama,Cowarts,"Dothan, AL",20020
